Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1949-50,2022-23,74,5832,2879,2953,0.494,48,12,0,1
Atlanta Hawks,NBA,1968-69,2022-23,55,4414,2181,2233,0.494,35,6,0,0
St. Louis Hawks,NBA,1955-56,1967-68,13,1005,553,452,0.55,12,6,0,1
Milwaukee Hawks,NBA,1951-52,1954-55,4,281,91,190,0.324,0,0,0,0
Tri-Cities Blackhawks,NBA,1949-50,1950-51,2,132,54,78,0.409,1,0,0,0
Boston Celtics,NBA/BAA,1946-47,2022-23,77,6009,3555,2454,0.592,59,32,10,17
Brooklyn Nets,NBA/ABA,1967-68,2022-23,56,4506,1985,2521,0.441,30,5,2,2
Brooklyn Nets,NBA,2012-13,2022-23,11,858,403,455,0.47,7,0,0,0
New Jersey Nets,NBA,1977-78,2011-12,35,2822,1186,1636,0.42,16,4,2,0
New York Nets,NBA,1976-77,1976-77,1,82,22,60,0.268,0,0,0,0
New York Nets,ABA,1968-69,1975-76,8,666,338,328,0.508,7,1,0,2
New Jersey Americans,ABA,1967-68,1967-68,1,78,36,42,0.462,0,0,0,0
Charlotte Hornets,NBA,1988-89,2022-23,33,2609,1143,1466,0.438,10,0,0,0
Charlotte Hornets,NBA,2014-15,2022-23,9,689,308,381,0.447,1,0,0,0
Charlotte Bobcats,NBA,2004-05,2013-14,10,804,293,511,0.364,2,0,0,0
Charlotte Hornets,NBA,1988-89,2001-02,14,1116,542,574,0.486,7,0,0,0
Chicago Bulls,NBA,1966-67,2022-23,57,4575,2330,2245,0.509,36,9,6,6
Cleveland Cavaliers,NBA,1970-71,2022-23,53,4250,1971,2279,0.464,22,7,5,1
Dallas Mavericks,NBA,1980-81,2022-23,43,3439,1740,1699,0.506,24,4,2,1
Denver Nuggets,NBA/ABA,1967-68,2022-23,56,4508,2298,2210,0.51,37,12,0,0
Denver Nuggets,NBA,1976-77,2022-23,47,3764,1885,1879,0.501,28,9,0,0
Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,0.744,2,2,0,0
Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,0.5,7,1,0,0
Detroit Pistons,NBA/BAA,1948-49,2022-23,75,5893,2811,3082,0.477,42,11,5,3
Detroit Pistons,NBA,1957-58,2022-23,66,5274,2498,2776,0.474,34,9,5,3
Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,0.506,8,2,0,0
Golden State Warriors,NBA/BAA,1946-47,2022-23,77,5997,2908,3089,0.485,36,12,7,7
Golden State Warriors,NBA,1971-72,2022-23,52,4165,2020,2145,0.485,19,7,7,5
San Francisco Warriors,NBA,1962-63,1970-71,9,729,330,399,0.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1946-47,1961-62,16,1103,558,545,0.506,12,3,0,2
Houston Rockets,NBA,1967-68,2022-23,56,4500,2319,2181,0.515,34,8,4,2
Houston Rockets,NBA,1971-72,2022-23,52,4172,2200,1972,0.527,33,8,4,2
San Diego Rockets,NBA,1967-68,1970-71,4,328,119,209,0.363,1,0,0,0
Indiana Pacers,NBA/ABA,1967-68,2022-23,56,4508,2301,2207,0.51,36,9,1,3
Indiana Pacers,NBA,1976-77,2022-23,47,3764,1874,1890,0.498,27,6,1,0
Indiana Pacers,ABA,1967-68,1975-76,9,744,427,317,0.574,9,3,0,3
Los Angeles Clippers,NBA,1970-71,2022-23,53,4257,1781,2476,0.418,16,2,0,0
Los Angeles Clippers,NBA,1984-85,2022-23,39,3109,1336,1773,0.43,13,2,0,0
San Diego Clippers,NBA,1978-79,1983-84,6,492,186,306,0.378,0,0,0,0
Buffalo Braves,NBA,1970-71,1977-78,8,656,259,397,0.395,3,0,0,0
Los Angeles Lakers,NBA/BAA,1948-49,2022-23,75,5899,3487,2412,0.591,62,33,19,17
Los Angeles Lakers,NBA,1960-61,2022-23,63,5060,3030,2030,0.599,51,29,19,12
Minneapolis Lakers,NBA/BAA,1948-49,1959-60,12,839,457,382,0.545,11,4,0,5
Memphis Grizzlies,NBA,1995-96,2022-23,28,2204,955,1249,0.433,12,1,0,0
Memphis Grizzlies,NBA,2001-02,2022-23,22,1744,854,890,0.49,12,1,0,0
Vancouver Grizzlies,NBA,1995-96,2000-01,6,460,101,359,0.22,0,0,0,0
Miami Heat,NBA,1988-89,2022-23,35,2780,1463,1317,0.526,23,15,6,3
Milwaukee Bucks,NBA,1968-69,2022-23,55,4419,2323,2096,0.526,34,17,3,2
